driver_id,vendor_id,date,online,offline,createdAt
5a2cd74cf8e3097a2fa16451,5810a31e53358eb35bae9d8d,2017-12-13,13:47:32.851Z,,2017-12-13T13:47:32.851Z
5a2cd74cf8e3097a2fa16451,5810a31e53358eb35bae9d8d,2017-12-13,15:02:58.115Z,,2017-12-13T15:02:58.115Z
5a2cd74cf8e3097a2fa16451,5810a31e53358eb35bae9d8d,2017-12-13,15:09:20.314Z,,2017-12-13T15:09:20.314Z
5a2cd74cf8e3097a2fa16451,5810a31e53358eb35bae9d8d,2017-12-13,15:09:20.606Z,,2017-12-13T15:09:20.607Z
5a2cd74cf8e3097a2fa16451,5810a31e53358eb35bae9d8d,2017-12-13,15:09:20.894Z,,2017-12-13T15:09:20.894Z
5a2cd74cf8e3097a2fa16451,5810a31e53358eb35bae9d8d,2017-12-13,15:09:21.185Z,,2017-12-13T15:09:21.185Z
5a2cd74cf8e3097a2fa16451,5810a31e53358eb35bae9d8d,2017-12-13,15:09:21.427Z,,2017-12-13T15:09:21.427Z
5a2cd74cf8e3097a2fa16451,5810a31e53358eb35bae9d8d,2017-12-13,15:09:21.696Z,,2017-12-13T15:09:21.697Z
5a2cd74cf8e3097a2fa16451,5810a31e53358eb35bae9d8d,2017-12-13,15:09:22.770Z,,2017-12-13T15:09:22.771Z
5a2cd74cf8e3097a2fa16451,5810a31e53358eb35bae9d8d,2017-12-13,15:09:23.102Z,,2017-12-13T15:09:23.103Z
5a2cd74cf8e3097a2fa16451,5810a31e53358eb35bae9d8d,2017-12-13,15:09:23.332Z,,2017-12-13T15:09:23.333Z
5a2cd74cf8e3097a2fa16451,5810a31e53358eb35bae9d8d,2017-12-13,15:19:45.255Z,,2017-12-13T15:19:45.256Z
5a2cd74cf8e3097a2fa16451,5810a31e53358eb35bae9d8d,2017-12-13,15:27:34.678Z,,2017-12-13T15:27:34.678Z
5a2cd74cf8e3097a2fa16451,5810a31e53358eb35bae9d8d,2017-12-13,15:32:06.183Z,,2017-12-13T15:32:06.183Z
5a2cd74cf8e3097a2fa16451,5810a31e53358eb35bae9d8d,2017-12-13,16:10:56.300Z,,2017-12-13T16:10:56.301Z
5a2cd74cf8e3097a2fa16451,5810a31e53358eb35bae9d8d,2017-12-14,02:59:05.053Z,,2017-12-14T02:59:05.053Z
5a2cd74cf8e3097a2fa16451,5810a31e53358eb35bae9d8d,2017-12-14,04:38:27.227Z,,2017-12-14T04:38:27.227Z
5a2cd74cf8e3097a2fa16451,5810a31e53358eb35bae9d8d,2017-12-14,06:00:27.110Z,,2017-12-14T06:00:27.111Z
5a2cd74cf8e3097a2fa16451,5810a31e53358eb35bae9d8d,2017-12-14,10:17:16.517Z,,2017-12-14T10:17:16.517Z
5a2cd74cf8e3097a2fa16451,5810a31e53358eb35bae9d8d,2017-12-14,10:30:47.443Z,,2017-12-14T10:30:47.444Z
5a2cd74cf8e3097a2fa16451,5810a31e53358eb35bae9d8d,2017-12-14,13:29:10.645Z,,2017-12-14T13:29:10.646Z
5a2cd74cf8e3097a2fa16451,5810a31e53358eb35bae9d8d,2017-12-14,13:43:26.121Z,,2017-12-14T13:43:26.121Z
5a2cd74cf8e3097a2fa16451,5810a31e53358eb35bae9d8d,2017-12-14,14:53:59.585Z,,2017-12-14T14:53:59.586Z
5a2cd74cf8e3097a2fa16451,5810a31e53358eb35bae9d8d,2017-12-14,15:42:11.321Z,,2017-12-14T15:42:11.321Z
5a2cd74cf8e3097a2fa16451,5810a31e53358eb35bae9d8d,2017-12-15,00:53:29.964Z,,2017-12-15T00:53:29.965Z
5a2cd74cf8e3097a2fa16451,5810a31e53358eb35bae9d8d,2017-12-15,02:43:24.830Z,,2017-12-15T02:43:24.831Z
5a2cd74cf8e3097a2fa16451,5810a31e53358eb35bae9d8d,2017-12-15,03:01:55.190Z,,2017-12-15T03:01:55.191Z
5a2cd74cf8e3097a2fa16451,5810a31e53358eb35bae9d8d,2017-12-15,03:26:53.727Z,,2017-12-15T03:26:53.727Z
5a2cd74cf8e3097a2fa16451,5810a31e53358eb35bae9d8d,2017-12-15,04:00:18.716Z,,2017-12-15T04:00:18.716Z
5a2cd74cf8e3097a2fa16451,5810a31e53358eb35bae9d8d,2017-12-15,04:12:42.301Z,,2017-12-15T04:12:42.302Z
5a2cd74cf8e3097a2fa16451,5810a31e53358eb35bae9d8d,2017-12-15,04:17:33.169Z,,2017-12-15T04:17:33.170Z
